"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)"
"ROE","Robièi",1896,710517,259824,"2019-07-10 21:10:00",13.4,0,0,5,46,12.2
"RUE","Rünenberg",611,710517,259824,"2019-07-10 21:10:00",18,0,0,11,49,8.6
"SBE","S. Bernardino",1638,710517,259824,"2019-07-10 21:10:00",12.7,0,0,3,54,8.6
"HAI","Salen-Reutenen",718,710517,259824,"2019-07-10 21:10:00",17.2,0,0,3,42,6.5
"SAM","Samedan",1708,710517,259824,"2019-07-10 21:10:00",13.6,0,0,4,40,15.1
"SAG","Sattel, SZ",790,710517,259824,"2019-07-10 21:10:00",14.6,0,-,-,74,10.1
"SHA","Schaffhausen",438,710517,259824,"2019-07-10 21:10:00",18.8,0,0,9,45,5.8
"SRS","Schiers",626,710517,259824,"2019-07-10 21:10:00",16.5,0,-,-,68,3.2
"SCM","Schmerikon",408,710517,259824,"2019-07-10 21:10:00",-,-,-,-,-,2.5
"SPF","Schüpfheim",744,710517,259824,"2019-07-10 21:10:00",17,0,0,5,55,1.8
"SCU","Scuol",1303,710517,259824,"2019-07-10 21:10:00",14.2,0,0,5,45,11.9
"SIA","Segl-Maria",1804,710517,259824,"2019-07-10 21:10:00",10.6,0,0,7,48,6.1
"SIM","Simplon-Dorf",1465,710517,259824,"2019-07-10 21:10:00",18.6,0,0,8,40,22.3
"SIO","Sion",482,710517,259824,"2019-07-10 21:10:00",23.1,0,0,7,36,11.2
"PRE","St-Prex",425,710517,259824,"2019-07-10 21:10:00",-,-,-,-,-,14.4
"STC","St. Chrischona",493,710517,259824,"2019-07-10 21:10:00",-,-,0,15,-,-
"STG","St. Gallen",775,710517,259824,"2019-07-10 21:10:00",15.4,0,0,6,47,3.6
"SMM","Sta. Maria, Val Müstair",1386,710517,259824,"2019-07-10 21:10:00",16.1,0,0,7,34,7.6
"SBO","Stabio",353,710517,259824,"2019-07-10 21:10:00",21,0,0,10,75,2.5
"STK","Steckborn",397,710517,259824,"2019-07-10 21:10:00",-,-,-,-,-,2.5
"SAE","Säntis",2502,710517,259824,"2019-07-10 21:10:00",3.9,0,0,5,55,22.3
"THU","Thun",570,710517,259824,"2019-07-10 21:10:00",19.1,0,0,11,56,6.5
"TIT","Titlis",3040,710517,259824,"2019-07-10 21:10:00",1.2,-,0,7,83,19.8
"UEB","Uetliberg",854,710517,259824,"2019-07-10 21:10:00",-,-,0,13,-,-
"ULR","Ulrichen",1345,710517,259824,"2019-07-10 21:10:00",15.3,0,0,6,61,14.8
"VAD","Vaduz",457,710517,259824,"2019-07-10 21:10:00",18.8,0,0,9,44,2.2
"VAB","Valbella",1568,710517,259824,"2019-07-10 21:10:00",10.2,0,0,5,79,11.9
"VLS","Vals",1242,710517,259824,"2019-07-10 21:10:00",11.6,0,-,-,89,2.2
"VEV","Vevey / Corseaux",405,710517,259824,"2019-07-10 21:10:00",23.3,0,0,8,31,16.6
"VIO","Vicosoprano",1089,710517,259824,"2019-07-10 21:10:00",18.6,0,0,8,39,13
"VIT","Villars-Tiercelin",859,710517,259824,"2019-07-10 21:10:00",15.2,0,-,-,59,12.2
"VIS","Visp",639,710517,259824,"2019-07-10 21:10:00",22,0,0,11,47,23.4
"WFJ","Weissfluhjoch",2691,710517,259824,"2019-07-10 21:10:00",3.4,0,0,3,85,15.5
"WYN","Wynau",422,710517,259824,"2019-07-10 21:10:00",18.4,0,0,14,58,2.2
"WAE","Wädenswil",485,710517,259824,"2019-07-10 21:10:00",18.3,0,0,12,53,2.5
"PSI","Würenlingen / PSI",334,710517,259824,"2019-07-10 21:10:00",17.8,0,0,11,60,-
"ZER","Zermatt",1638,710517,259824,"2019-07-10 21:10:00",14.7,0,0,6,52,2.2
"REH","Zürich / Affoltern",443,710517,259824,"2019-07-10 21:10:00",18.5,0,0,11,51,0.7
"SMA","Zürich / Fluntern",555,710517,259824,"2019-07-10 21:10:00",18.1,0,0,8,44,5.8
"KLO","Zürich / Kloten",426,710517,259824,"2019-07-10 21:10:00",18.9,0,0,13,52,7.2
