"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)","Index"
"OBR","Oberriet / Kriessern",409,764170,249582,"2020-02-26 10:20:00",3.2,0,-,-,85,4.3,48
"AEG","Oberägeri",724,688728,220956,"2020-02-26 10:20:00",-,-,-,-,-,24.1,-
"ORO","Oron",828,555505,158052,"2020-02-26 10:20:00",-2.5,0.1,0,72,99,19.8,11
"BEH","Passo del Bernina",2260,798422,143020,"2020-02-26 10:20:00",-6.8,0,6,394,36,15.5,36
"PAY","Payerne",490,562131,184611,"2020-02-26 10:20:00",2.1,0,1,250,67,22.7,35
"PIL","Pilatus",2106,661904,203410,"2020-02-26 10:20:00",-8.1,0.6,0,165,100,37.1,8
"PIO","Piotta",990,695880,152264,"2020-02-26 10:20:00",-0.3,0,0,117,77,4.7,44
"COV","Piz Corvatsch",3302,783150,143521,"2020-02-26 10:20:00",-15.9,0,10,636,55,11.9,44
"PMA","Piz Martegnas",2670,760261,160570,"2020-02-26 10:20:00",-12.1,0,0,307,75,11.5,41
"PLF","Plaffeien",1042,586828,177406,"2020-02-26 10:20:00",-2.9,0,0,179,82,24.5,34
"ROB","Poschiavo / Robbia",1078,801992,136248,"2020-02-26 10:20:00",4,0,10,523,40,10.8,46
"PUY","Pully",455,540819,151510,"2020-02-26 10:20:00",2.1,0.1,0,39,93,20.2,12
"QUI","Quinten",419,734848,221278,"2020-02-26 10:20:00",-,-,-,-,-,6.1,-
"ROE","Robièi",1896,682587,144091,"2020-02-26 10:20:00",-7.1,0.1,0,116,86,0.7,28
"RUE","Rünenberg",611,633252,253845,"2020-02-26 10:20:00",0,0,0,83,83,16.9,38
"SBE","S. Bernardino",1638,734115,147294,"2020-02-26 10:20:00",-2.4,0,0,204,51,9,38
"HAI","Salen-Reutenen",718,719099,279047,"2020-02-26 10:20:00",-0.9,0.1,0,61,99,21.6,9
"SAM","Samedan",1708,787249,155685,"2020-02-26 10:20:00",-3,0,4,340,41,19.4,33
"SAG","Sattel, SZ",790,690999,215145,"2020-02-26 10:20:00",0.3,0,-,-,94,8.6,37
"SHA","Schaffhausen",438,688702,282803,"2020-02-26 10:20:00",1.5,0,0,81,87,30.2,35
"SRS","Schiers",626,769617,205125,"2020-02-26 10:20:00",2.4,0,-,-,82,5,47
"SCM","Schmerikon",408,713725,231533,"2020-02-26 10:20:00",-,-,-,-,-,7.9,-
"SPF","Schüpfheim",744,643683,199710,"2020-02-26 10:20:00",0.2,0,0,70,92,21.6,29
"SCU","Scuol",1303,817137,186393,"2020-02-26 10:20:00",0.5,0,10,540,70,4,52
"SIA","Segl-Maria",1804,778574,144976,"2020-02-26 10:20:00",-2.4,0,9,662,53,9,46
"SIM","Simplon-Dorf",1465,647683,116340,"2020-02-26 10:20:00",-1.9,0,0,192,47,34.6,28
"SIO","Sion",482,591633,118583,"2020-02-26 10:20:00",1.7,0.1,0,5,90,16.6,20
"PRE","St-Prex",425,523549,148525,"2020-02-26 10:20:00",-,-,-,-,-,26.3,-
"STC","St. Chrischona",493,618695,269036,"2020-02-26 10:20:00",-,-,0,51,-,-,-
"STG","St. Gallen",775,747865,254588,"2020-02-26 10:20:00",-0.2,0,0,172,89,7.2,45
"SMM","Sta. Maria, Val Müstair",1386,828861,165579,"2020-02-26 10:20:00",0.6,0,10,510,34,7.2,44
"SBO","Stabio",353,716048,77973,"2020-02-26 10:20:00",11.4,0,1,237,22,6.1,47
"STK","Steckborn",397,715870,280916,"2020-02-26 10:20:00",-,-,-,-,-,15.1,-
"SAE","Säntis",2502,744183,234918,"2020-02-26 10:20:00",-12,0.3,0,155,88,61.2,14
"THU","Thun",570,611200,177640,"2020-02-26 10:20:00",1.8,0,0,85,66,25.9,32
"TIT","Titlis",3040,675400,180400,"2020-02-26 10:20:00",-16.5,-,0,135,100,38.9,-
"UEB","Uetliberg",854,679454,245034,"2020-02-26 10:20:00",-,-,0,61,-,-,-
"ULR","Ulrichen",1345,666747,150767,"2020-02-26 10:20:00",-3.5,0.1,0,36,91,19.4,10
"VAD","Vaduz",457,757722,221699,"2020-02-26 10:20:00",3.6,0,0,42,71,7.6,45
"VAB","Valbella",1568,761634,180385,"2020-02-26 10:20:00",-,0,-,167,97,5.4,-
"VLS","Vals",1242,734016,165551,"2020-02-26 10:20:00",-2.1,0,-,-,99,5.4,39
"VEV","Vevey / Corseaux",405,552106,146847,"2020-02-26 10:20:00",3.4,0,0,33,85,33.1,36
"VIO","Vicosoprano",1089,768485,135866,"2020-02-26 10:20:00",3.7,0,0,255,34,14,36
"VIT","Villars-Tiercelin",859,544198,163650,"2020-02-26 10:20:00",-2.4,0,-,-,99,18.4,31
"VIS","Visp",639,631150,128024,"2020-02-26 10:20:00",2.9,0,0,121,68,25.2,33
"WFJ","Weissfluhjoch",2691,780614,189634,"2020-02-26 10:20:00",-12.4,0,0,310,100,19.4,32
"WYN","Wynau",422,626404,233848,"2020-02-26 10:20:00",1.4,0,0,96,85,10.4,43
"WAE","Wädenswil",485,693847,230744,"2020-02-26 10:20:00",2.1,0.2,0,24,84,14.4,21
"PSI","Würenlingen / PSI",334,659355,265380,"2020-02-26 10:20:00",2,0,0,86,85,-,35
"ZER","Zermatt",1638,624298,97574,"2020-02-26 10:20:00",-5.1,0,0,29,79,22.3,34
"REH","Zürich / Affoltern",443,681432,253548,"2020-02-26 10:20:00",0.9,0.2,0,66,91,20.2,10
"SMA","Zürich / Fluntern",555,685116,248065,"2020-02-26 10:20:00",-0.2,0.6,0,29,96,25.9,7
"KLO","Zürich / Kloten",426,682710,259338,"2020-02-26 10:20:00",0.8,0,0,65,92,25.6,28
